customer_id,customer_name,customer_phone,customer_email,customer_device_id
CUST_0601,Diana Gibson,5897982283922,kimberly45@example.com,a40ade1f-8074-4a8e-a185-25b56f4207ed
CUST_0602,Travis Anderson,5675626847828,mooreamy@example.org,92efe6e2-6702-49f6-95a0-150d99f06003
CUST_0603,Janet Bentley,3942066167705,kimsimmons@example.org,bc0d90fd-78f3-46c9-8283-56654dc873bb
CUST_0604,Andrew Carey,3018930615358,morrisondustin@example.com,f02a5697-6289-4cf6-a22e-0e9098479bde
CUST_0605,Ryan Bailey,8141238184079,tammyfarrell@example.com,bf985b7f-0a75-45d6-9044-11f298053afc
CUST_0606,Lori Miller,abc123,annabailey@example.net,3887d5dc-48a9-4cae-af2d-5b3e920d1495
CUST_0607,Jessica Macias,4121776010999,bradleystrickland@example.net,3596d8d7-d775-4abc-b146-d0f60fac5906
CUST_0608,David Wilson,abc123,cwood@example.org,0b0bfe75-e333-4ef7-b77a-6b6ca8201c7c
CUST_0609,Amy Jackson,abc123,bobbymartinez@example.com,806ad73d-ea88-445f-b01e-daa46e698c4e
CUST_0610,Christy Ross,3830858275488,ygamble@example.org,f827372a-f5f1-4e13-b762-ed65f32498e9
CUST_0611,,0518470233405,,ce8e11d3-2200-4dd6-9a34-7a6756788364
CUST_0612,Lauren George,7052404963168,brosario@example.org,e56e78d5-4979-425d-84b7-34ed9f84ff50
CUST_0613,John Meyer,0434131341280,cookchristine@example.net,42fef57f-8058-46db-83a5-aeaa3ab06751
CUST_0614,,5393506736514,robert65@example.com,2b8ce7b5-02d6-4fe9-9e43-61cfaba1d643
CUST_0615,David Lara,9918934247863,carrie37@example.com,8d6f9682-559f-4f1a-91c3-f52e7167365e
CUST_0616,,7940391238116,qpruitt@example.net,d9134f85-a35c-4753-affa-f9b97fd1ec9f
CUST_0617,Kylie Cruz,3659407542863,gravesshane@example.org,fa67304f-3d14-4e53-89a2-b8d9517df837
CUST_0618,Jack Hill,2601406488924,kaitlynwilliamson@example.net,888fddfe-3e36-4a3a-8aae-ea768eb1be46
CUST_0619,Joseph Thompson,7423070231063,smithcheryl@example.org,63377c98-f8ee-4015-a9e9-11011ecfd37c
CUST_0620,April Gomez,3857408519490,mmartin@example.com,14bd5b6d-8261-46e1-b24b-47bcc86ab3e6
CUST_0621,,abc123,singram@example.org,c1f214a7-bfe7-485c-9a3e-8f0d74174a4d
CUST_0622,Heather Barnett,9618420875270,nicholastodd@example.org,f6bd96a5-258b-4763-8188-e59e1cdd2aa8
CUST_0623,Debra Harris,8207912104878,jennifersingh@example.com,5d8d8b10-25df-40a8-82f2-a99539c0f88b
CUST_0624,Dylan Walls,3357343189825,glennnicole@example.net,a26e0bfb-2b05-4a8b-a32e-0cce4d35fce5
CUST_0625,Brandon Roberts Jr.,1210352147690,krystal73@example.net,2e3ff143-39dd-4560-866b-a967a5fb3a39
CUST_0626,Rebekah Alvarado,0097484907478,vbrown@example.com,af2ad15d-1c7f-494a-a91f-b1c87e105c4f
CUST_0627,Andrew Maddox,6054713934348,,4a464160-153f-46a1-8107-6f7ba69e6212
CUST_0628,Gabriela Klein,5268402984604,william67@example.net,d716779d-bb42-48b5-9872-2477f2835edb
CUST_0629,Colleen Liu,1302002562072,brad24@example.org,bdeb763c-27b7-48e9-9da5-9acb4e753595
CUST_0630,Heidi Ward,4404294232251,zsmith@example.net,c1f30e6d-7875-4bf7-aafe-24a608888c38
CUST_0631,Sharon Reyes,9916145787897,carol21@example.org,97830d8e-ab07-4025-bbc7-73092bbf8946
CUST_0632,Anthony Rosales,abc123,davidmoss@example.org,13b893b6-133f-4cb7-b58a-6343cf9a61b0
CUST_0633,,7065207492260,gking@example.org,1f606f6d-a8a9-43ef-ac93-457916161e98
CUST_0634,Rodney Beck,5824404887999,savagekatherine@example.com,474a225f-0cde-487e-a973-11d9338fe0ee
CUST_0635,Jimmy Burns,8207965930707,mtucker@example.net,84e8d660-8a59-4d66-9c67-d667a45a476c
CUST_0636,Troy White,abc123,madams@example.org,5a04b8c1-2dfa-4e27-9ae1-83cdce27ef78
CUST_0637,Alexandria Walton,3024787827107,robertgomez@example.com,94699bd0-6fad-4f94-947e-483d775d58ba
